Model,Scenario,Region,Variable,Unit,2015.0
MESSAGEix,none,NewBrunswick,bio_ppl,Gwa,0.0412100456621005
MESSAGEix,none,NewBrunswick,biomass_i,Gwa,0.14733662419072258
MESSAGEix,none,NewBrunswick,biomass_nc,Gwa,0.11497058068386158
MESSAGEix,none,NewBrunswick,biomass_rc,Gwa,0.21231018835399398
MESSAGEix,none,NewBrunswick,biomass_t_d,Gwa,0.3316888386586111
MESSAGEix,none,NewBrunswick,coal_exp,Gwa,0.9213252783500259
MESSAGEix,none,NewBrunswick,coal_extr,Gwa,1.6492127408260877
MESSAGEix,none,NewBrunswick,coal_extr_mpen,Gwa,1.6492127408260877
MESSAGEix,none,NewBrunswick,coal_fs,Gwa,0.0028803103064713766
MESSAGEix,none,NewBrunswick,coal_i,Gwa,0.052033475548203235
MESSAGEix,none,NewBrunswick,coal_imp,Gwa,0.25834919827896263
MESSAGEix,none,NewBrunswick,coal_ppl,Gwa,0.270892511415525
MESSAGEix,none,NewBrunswick,coal_rc,Gwa,0.03440934730978592
MESSAGEix,none,NewBrunswick,coal_t_d,Gwa,0.07522249263163393
MESSAGEix,none,NewBrunswick,elec_exp,Gwa,0.0323059360730594
MESSAGEix,none,NewBrunswick,elec_i,Gwa,0.004555427139177056
MESSAGEix,none,NewBrunswick,elec_imp,Gwa,0.137785388127854
MESSAGEix,none,NewBrunswick,elec_t_d,Gwa,0.2752348185189907
MESSAGEix,none,NewBrunswick,elec_trp,Gwa,0.0
MESSAGEix,none,NewBrunswick,eth_bio,Gwa,0.0242166151249894
MESSAGEix,none,NewBrunswick,eth_exp,Gwa,0.0040393986437558885
MESSAGEix,none,NewBrunswick,eth_ic_trp,Gwa,0.03885469703190079
MESSAGEix,none,NewBrunswick,eth_imp,Gwa,0.01867583248920511
MESSAGEix,none,NewBrunswick,foil_exp,Gwa,2.062610504444104
MESSAGEix,none,NewBrunswick,foil_fs,Gwa,1.4079062500213408
MESSAGEix,none,NewBrunswick,foil_i,Gwa,0.3268224067225752
MESSAGEix,none,NewBrunswick,foil_imp,Gwa,1.1629634959971602
MESSAGEix,none,NewBrunswick,foil_ppl,Gwa,0.108952674645709
MESSAGEix,none,NewBrunswick,foil_rc,Gwa,0.2563538332324591
MESSAGEix,none,NewBrunswick,foil_t_d,Gwa,2.2132215274609597
MESSAGEix,none,NewBrunswick,foil_trp,Gwa,0.0
MESSAGEix,none,NewBrunswick,gas_cc,Gwa,0.0
MESSAGEix,none,NewBrunswick,gas_ct,Gwa,0.188
MESSAGEix,none,NewBrunswick,gas_exp,Gwa,2.442698220837956
MESSAGEix,none,NewBrunswick,gas_extr_1,Gwa,2.494400583408499
MESSAGEix,none,NewBrunswick,gas_extr_2,Gwa,4.378909536397268
MESSAGEix,none,NewBrunswick,gas_extr_mpen,Gwa,6.873310119805743
